आजको खबर के छ?	What's the news today?
नोटबुक को गुणस्तर कस्तो छ?	What is the quality of this notebook?
मलाई सस्तो नोटबुक चाहिए।	I need a cheaper notebook.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 50 रुपिया को हो।	This blanket costs 50 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 75 रुपिया को हो।	This blanket costs 75 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 100 रुपिया को हो।	This blanket costs 100 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 150 रुपिया को हो।	This blanket costs 150 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 200 रुपिया को हो।	This blanket costs 200 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 250 रुपिया को हो।	This blanket costs 250 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 300 रुपिया को हो।	This blanket costs 300 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 400 रुपिया को हो।	This blanket costs 400 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 500 रुपिया को हो।	This blanket costs 500 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 750 रुपिया को हो।	This blanket costs 750 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 1000 रुपिया को हो।	This blanket costs 1000 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 1500 रुपिया को हो।	This blanket costs 1500 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 2000 रुपिया को हो।	This blanket costs 2000 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो रजाइ कति को हो?	How much is this blanket?
यो रजाइ 3000 रुपिया को हो।	This blanket costs 3000 rupees.
रजाइ को गुणस्तर कस्तो छ?	What is the quality of this blanket?
मलाई सस्तो रजाइ चाहिए।	I need a cheaper blanket.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 50 रुपिया को हो।	This cloth costs 50 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 75 रुपिया को हो।	This cloth costs 75 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 100 रुपिया को हो।	This cloth costs 100 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 150 रुपिया को हो।	This cloth costs 150 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 200 रुपिया को हो।	This cloth costs 200 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 250 रुपिया को हो।	This cloth costs 250 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 300 रुपिया को हो।	This cloth costs 300 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 400 रुपिया को हो।	This cloth costs 400 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 500 रुपिया को हो।	This cloth costs 500 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 750 रुपिया को हो।	This cloth costs 750 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 1000 रुपिया को हो।	This cloth costs 1000 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 1500 रुपिया को हो।	This cloth costs 1500 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 2000 रुपिया को हो।	This cloth costs 2000 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो कपडा कति को हो?	How much is this cloth?
यो कपडा 3000 रुपिया को हो।	This cloth costs 3000 rupees.
कपडा को गुणस्तर कस्तो छ?	What is the quality of this cloth?
मलाई सस्तो कपडा चाहिए।	I need a cheaper cloth.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 50 रुपिया को हो।	This shoe costs 50 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 75 रुपिया को हो।	This shoe costs 75 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 100 रुपिया को हो।	This shoe costs 100 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 150 रुपिया को हो।	This shoe costs 150 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 200 रुपिया को हो।	This shoe costs 200 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 250 रुपिया को हो।	This shoe costs 250 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 300 रुपिया को हो।	This shoe costs 300 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 400 रुपिया को हो।	This shoe costs 400 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 500 रुपिया को हो।	This shoe costs 500 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 750 रुपिया को हो।	This shoe costs 750 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 1000 रुपिया को हो।	This shoe costs 1000 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 1500 रुपिया को हो।	This shoe costs 1500 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 2000 रुपिया को हो।	This shoe costs 2000 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो जुत्ता कति को हो?	How much is this shoe?
यो जुत्ता 3000 रुपिया को हो।	This shoe costs 3000 rupees.
जुत्ता को गुणस्तर कस्तो छ?	What is the quality of this shoe?
मलाई सस्तो जुत्ता चाहिए।	I need a cheaper shoe.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 50 रुपिया को हो।	This hat costs 50 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 75 रुपिया को हो।	This hat costs 75 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 100 रुपिया को हो।	This hat costs 100 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 150 रुपिया को हो।	This hat costs 150 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 200 रुपिया को हो।	This hat costs 200 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 250 रुपिया को हो।	This hat costs 250 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 300 रुपिया को हो।	This hat costs 300 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 400 रुपिया को हो।	This hat costs 400 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 500 रुपिया को हो।	This hat costs 500 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 750 रुपिया को हो।	This hat costs 750 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 1000 रुपिया को हो।	This hat costs 1000 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 1500 रुपिया को हो।	This hat costs 1500 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 2000 रुपिया को हो।	This hat costs 2000 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो टोपी कति को हो?	How much is this hat?
यो टोपी 3000 रुपिया को हो।	This hat costs 3000 rupees.
टोपी को गुणस्तर कस्तो छ?	What is the quality of this hat?
मलाई सस्तो टोपी चाहिए।	I need a cheaper hat.
यो झोला कति को हो?	How much is this bag?
यो झोला 50 रुपिया को हो।	This bag costs 50 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 75 रुपिया को हो।	This bag costs 75 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 100 रुपिया को हो।	This bag costs 100 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 150 रुपिया को हो।	This bag costs 150 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 200 रुपिया को हो।	This bag costs 200 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 250 रुपिया को हो।	This bag costs 250 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 300 रुपिया को हो।	This bag costs 300 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 400 रुपिया को हो।	This bag costs 400 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 500 रुपिया को हो।	This bag costs 500 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 750 रुपिया को हो।	This bag costs 750 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 1000 रुपिया को हो।	This bag costs 1000 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 1500 रुपिया को हो।	This bag costs 1500 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 2000 रुपिया को हो।	This bag costs 2000 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो झोला कति को हो?	How much is this bag?
यो झोला 3000 रुपिया को हो।	This bag costs 3000 rupees.
झोला को गुणस्तर कस्तो छ?	What is the quality of this bag?
मलाई सस्तो झोला चाहिए।	I need a cheaper bag.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 50 रुपिया को हो।	This mobile costs 50 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 75 रुपिया को हो।	This mobile costs 75 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 100 रुपिया को हो।	This mobile costs 100 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 150 रुपिया को हो।	This mobile costs 150 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 200 रुपिया को हो।	This mobile costs 200 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 250 रुपिया को हो।	This mobile costs 250 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 300 रुपिया को हो।	This mobile costs 300 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 400 रुपिया को हो।	This mobile costs 400 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 500 रुपिया को हो।	This mobile costs 500 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 750 रुपिया को हो।	This mobile costs 750 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 1000 रुपिया को हो।	This mobile costs 1000 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 1500 रुपिया को हो।	This mobile costs 1500 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 2000 रुपिया को हो।	This mobile costs 2000 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो मोबाइल कति को हो?	How much is this mobile?
यो मोबाइल 3000 रुपिया को हो।	This mobile costs 3000 rupees.
मोबाइल को गुणस्तर कस्तो छ?	What is the quality of this mobile?
मलाई सस्तो मोबाइल चाहिए।	I need a cheaper mobile.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 50 रुपिया को हो।	This dress costs 50 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 75 रुपिया को हो।	This dress costs 75 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 100 रुपिया को हो।	This dress costs 100 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 150 रुपिया को हो।	This dress costs 150 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 200 रुपिया को हो।	This dress costs 200 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 250 रुपिया को हो।	This dress costs 250 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 300 रुपिया को हो।	This dress costs 300 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 400 रुपिया को हो।	This dress costs 400 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 500 रुपिया को हो।	This dress costs 500 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 750 रुपिया को हो।	This dress costs 750 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 1000 रुपिया को हो।	This dress costs 1000 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 1500 रुपिया को हो।	This dress costs 1500 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 2000 रुपिया को हो।	This dress costs 2000 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो ड्रेस कति को हो?	How much is this dress?
यो ड्रेस 3000 रुपिया को हो।	This dress costs 3000 rupees.
ड्रेस को गुणस्तर कस्तो छ?	What is the quality of this dress?
मलाई सस्तो ड्रेस चाहिए।	I need a cheaper dress.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 50 रुपिया को हो।	This shirt costs 50 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 75 रुपिया को हो।	This shirt costs 75 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 100 रुपिया को हो।	This shirt costs 100 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 150 रुपिया को हो।	This shirt costs 150 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 200 रुपिया को हो।	This shirt costs 200 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 250 रुपिया को हो।	This shirt costs 250 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 300 रुपिया को हो।	This shirt costs 300 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 400 रुपिया को हो।	This shirt costs 400 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 500 रुपिया को हो।	This shirt costs 500 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 750 रुपिया को हो।	This shirt costs 750 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 1000 रुपिया को हो।	This shirt costs 1000 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 1500 रुपिया को हो।	This shirt costs 1500 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 2000 रुपिया को हो।	This shirt costs 2000 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो शर्ट कति को हो?	How much is this shirt?
यो शर्ट 3000 रुपिया को हो।	This shirt costs 3000 rupees.
शर्ट को गुणस्तर कस्तो छ?	What is the quality of this shirt?
मलाई सस्तो शर्ट चाहिए।	I need a cheaper shirt.
यो प्यान्ट कति को हो?	How much is this pants?
यो प्यान्ट 50 रुपिया को हो।	This pants costs 50 rupees.
प्यान्ट को गुणस्तर कस्तो छ?	What is the quality of this pants?
मलाई सस्तो प्यान्ट चाहिए।	I need a cheaper pants.
यो प्यान्ट कति को हो?	How much is this pants?
